,state,county,population,county_name,state_name
1639,30,083,11392.0,Richland County, Montana
1640,30,085,11230.0,Roosevelt County, Montana
1641,30,087,9348.0,Rosebud County, Montana
1642,30,089,11375.0,Sanders County, Montana
1643,30,091,3645.0,Sheridan County, Montana
1644,30,093,34560.0,Silver Bow County, Montana
1645,30,095,9342.0,Stillwater County, Montana
1646,30,097,3634.0,Sweet Grass County, Montana
1647,30,099,6067.0,Teton County, Montana
1648,30,101,5114.0,Toole County, Montana
1649,30,103,846.0,Treasure County, Montana
1650,30,105,7576.0,Valley County, Montana
1651,30,107,2109.0,Wheatland County, Montana
1652,30,109,1143.0,Wibaux County, Montana
1653,30,111,155344.0,Yellowstone County, Montana
1654,31,001,31536.0,Adams County, Nebraska
1655,31,003,6421.0,Antelope County, Nebraska
1656,31,005,437.0,Arthur County, Nebraska
1657,31,007,793.0,Banner County, Nebraska
1658,31,009,580.0,Blaine County, Nebraska
1659,31,011,5353.0,Boone County, Nebraska
1660,31,013,11279.0,Box Butte County, Nebraska
1661,31,015,2006.0,Boyd County, Nebraska
1662,31,017,3022.0,Brown County, Nebraska
1663,31,019,48402.0,Buffalo County, Nebraska
1664,31,021,6594.0,Burt County, Nebraska
1665,31,023,8205.0,Butler County, Nebraska
1666,31,025,25463.0,Cass County, Nebraska
1667,31,027,8657.0,Cedar County, Nebraska
1668,31,029,4061.0,Chase County, Nebraska
1669,31,031,5781.0,Cherry County, Nebraska
1670,31,033,10090.0,Cheyenne County, Nebraska
1671,31,035,6313.0,Clay County, Nebraska
1672,31,037,10499.0,Colfax County, Nebraska
1673,31,039,9055.0,Cuming County, Nebraska
1674,31,041,10784.0,Custer County, Nebraska
1675,31,043,20697.0,Dakota County, Nebraska
1676,31,045,9082.0,Dawes County, Nebraska
1677,31,047,23924.0,Dawson County, Nebraska
1678,31,049,1932.0,Deuel County, Nebraska
1679,31,051,5809.0,Dixon County, Nebraska
1680,31,053,36679.0,Dodge County, Nebraska
1681,31,055,543253.0,Douglas County, Nebraska
1682,31,057,1823.0,Dundy County, Nebraska
1683,31,059,5676.0,Fillmore County, Nebraska
1684,31,061,3076.0,Franklin County, Nebraska
1685,31,063,2599.0,Frontier County, Nebraska
1686,31,065,4850.0,Furnas County, Nebraska
1687,31,067,21778.0,Gage County, Nebraska
1688,31,069,1930.0,Garden County, Nebraska
1689,31,071,1968.0,Garfield County, Nebraska
1690,31,073,1977.0,Gosper County, Nebraska
1691,31,075,647.0,Grant County, Nebraska
1692,31,077,2447.0,Greeley County, Nebraska
1693,31,079,61105.0,Hall County, Nebraska
1694,31,081,9118.0,Hamilton County, Nebraska
1695,31,083,3465.0,Harlan County, Nebraska
1696,31,085,1013.0,Hayes County, Nebraska
1697,31,087,2866.0,Hitchcock County, Nebraska
1698,31,089,10360.0,Holt County, Nebraska
1699,31,091,669.0,Hooker County, Nebraska
1700,31,093,6365.0,Howard County, Nebraska
1701,31,095,7354.0,Jefferson County, Nebraska
1702,31,097,5167.0,Johnson County, Nebraska
1703,31,099,6548.0,Kearney County, Nebraska
1704,31,101,8103.0,Keith County, Nebraska
1705,31,103,736.0,Keya Paha County, Nebraska
1706,31,105,3713.0,Kimball County, Nebraska
1707,31,107,8551.0,Knox County, Nebraska
1708,31,109,301707.0,Lancaster County, Nebraska
1709,31,111,35777.0,Lincoln County, Nebraska
1710,31,113,830.0,Logan County, Nebraska
1711,31,115,542.0,Loup County, Nebraska
1712,31,117,425.0,McPherson County, Nebraska
1713,31,119,35125.0,Madison County, Nebraska
1714,31,121,7793.0,Merrick County, Nebraska
1715,31,123,4843.0,Morrill County, Nebraska
1716,31,125,3607.0,Nance County, Nebraska
1717,31,127,7101.0,Nemaha County, Nebraska
1718,31,129,4352.0,Nuckolls County, Nebraska
1719,31,131,15890.0,Otoe County, Nebraska
1720,31,133,2695.0,Pawnee County, Nebraska
1721,31,135,2911.0,Perkins County, Nebraska
1722,31,137,9236.0,Phelps County, Nebraska
1723,31,139,7179.0,Pierce County, Nebraska
1724,31,141,32703.0,Platte County, Nebraska
1725,31,143,5242.0,Polk County, Nebraska
1726,31,145,10884.0,Red Willow County, Nebraska
1727,31,147,8149.0,Richardson County, Nebraska
1728,31,149,1407.0,Rock County, Nebraska
1729,31,151,14356.0,Saline County, Nebraska
1730,31,153,172460.0,Sarpy County, Nebraska
1731,31,155,20946.0,Saunders County, Nebraska
1732,31,157,36599.0,Scotts Bluff County, Nebraska
1733,31,159,17113.0,Seward County, Nebraska
1734,31,161,5259.0,Sheridan County, Nebraska
1735,31,163,3090.0,Sherman County, Nebraska
1736,31,165,1274.0,Sioux County, Nebraska
1737,31,167,6022.0,Stanton County, Nebraska
1738,31,169,5163.0,Thayer County, Nebraska
1739,31,171,675.0,Thomas County, Nebraska
1740,31,173,6989.0,Thurston County, Nebraska
1741,31,175,4240.0,Valley County, Nebraska
1742,31,177,20338.0,Washington County, Nebraska
1743,31,179,9414.0,Wayne County, Nebraska
1744,31,181,3665.0,Webster County, Nebraska
1745,31,183,805.0,Wheeler County, Nebraska
1746,31,185,13842.0,York County, Nebraska
1747,32,001,24148.0,Churchill County, Nevada
1748,32,003,2070153.0,Clark County, Nevada
1749,32,005,47426.0,Douglas County, Nevada
1750,32,007,52029.0,Elko County, Nevada
1751,32,009,1069.0,Esmeralda County, Nevada
1752,32,011,1730.0,Eureka County, Nevada
1753,32,013,17091.0,Humboldt County, Nevada
1754,32,015,5907.0,Lander County, Nevada
1755,32,017,5155.0,Lincoln County, Nevada
1756,32,019,51897.0,Lyon County, Nevada
1757,32,021,4519.0,Mineral County, Nevada
1758,32,023,43198.0,Nye County, Nevada
1759,32,027,6690.0,Pershing County, Nevada
1760,32,029,3941.0,Storey County, Nevada
1761,32,031,439914.0,Washoe County, Nevada
1762,32,033,9893.0,White Pine County, Nevada
1763,32,510,54412.0,Carson City, Nevada
1764,33,001,60392.0,Belknap County, New Hampshire
1765,33,003,47416.0,Carroll County, New Hampshire
1766,33,005,76320.0,Cheshire County, New Hampshire
1767,33,007,32219.0,Coos County, New Hampshire
1768,33,009,89164.0,Grafton County, New Hampshire
1769,33,011,404948.0,Hillsborough County, New Hampshire
1770,33,013,147715.0,Merrimack County, New Hampshire
1771,33,015,300365.0,Rockingham County, New Hampshire
1772,33,017,125913.0,Strafford County, New Hampshire
1773,33,019,43051.0,Sullivan County, New Hampshire
1774,34,001,274026.0,Atlantic County, New Jersey
1775,34,003,930310.0,Bergen County, New Jersey
1776,34,005,450236.0,Burlington County, New Jersey
1777,34,007,511145.0,Camden County, New Jersey
1778,34,009,95404.0,Cape May County, New Jersey
1779,34,011,155744.0,Cumberland County, New Jersey
1780,34,013,792586.0,Essex County, New Jersey
1781,34,015,291286.0,Gloucester County, New Jersey
1782,34,017,668526.0,Hudson County, New Jersey
1783,34,019,125708.0,Hunterdon County, New Jersey
1784,34,021,371101.0,Mercer County, New Jersey
1785,34,023,831852.0,Middlesex County, New Jersey
1786,34,025,627532.0,Monmouth County, New Jersey
1787,34,027,498215.0,Morris County, New Jersey
1788,34,029,586166.0,Ocean County, New Jersey
1789,34,031,507204.0,Passaic County, New Jersey
1790,34,033,64504.0,Salem County, New Jersey
1791,34,035,331686.0,Somerset County, New Jersey
1792,34,037,144694.0,Sussex County, New Jersey
1793,34,039,550436.0,Union County, New Jersey
1794,34,041,107095.0,Warren County, New Jersey
1795,35,001,674777.0,Bernalillo County, New Mexico
1796,35,003,3547.0,Catron County, New Mexico
1797,35,005,65610.0,Chaves County, New Mexico
1798,35,006,27373.0,Cibola County, New Mexico
1799,35,007,12716.0,Colfax County, New Mexico
1800,35,009,50544.0,Curry County, New Mexico
1801,35,011,1977.0,De Baca County, New Mexico
1802,35,013,213825.0,Do?a Ana County, New Mexico
1803,35,015,56369.0,Eddy County, New Mexico
1804,35,017,28879.0,Grant County, New Mexico
1805,35,019,4469.0,Guadalupe County, New Mexico
1806,35,021,565.0,Harding County, New Mexico
1807,35,023,4531.0,Hidalgo County, New Mexico
1808,35,025,68930.0,Lea County, New Mexico
1809,35,027,19726.0,Lincoln County, New Mexico
1810,35,028,17895.0,Los Alamos County, New Mexico
1811,35,029,24627.0,Luna County, New Mexico
1812,35,031,74346.0,McKinley County, New Mexico
1813,35,033,4598.0,Mora County, New Mexico
1814,35,035,65333.0,Otero County, New Mexico
1815,35,037,8555.0,Quay County, New Mexico
1816,35,039,39924.0,Rio Arriba County, New Mexico
1817,35,041,19618.0,Roosevelt County, New Mexico
1818,35,043,138117.0,Sandoval County, New Mexico
1819,35,045,122537.0,San Juan County, New Mexico
1820,35,047,28350.0,San Miguel County, New Mexico
1821,35,049,147320.0,Santa Fe County, New Mexico
1822,35,051,11442.0,Sierra County, New Mexico
1823,35,053,17324.0,Socorro County, New Mexico
1824,35,055,32961.0,Taos County, New Mexico
1825,35,057,15599.0,Torrance County, New Mexico
1826,35,059,4292.0,Union County, New Mexico
1827,35,061,75993.0,Valencia County, New Mexico
1828,36,001,307891.0,Albany County, New York
1829,36,003,47700.0,Allegany County, New York
1830,36,005,1436785.0,Bronx County, New York
1831,36,007,197381.0,Broome County, New York
1832,36,009,78506.0,Cattaraugus County, New York
1833,36,011,78783.0,Cayuga County, New York
1834,36,013,131748.0,Chautauqua County, New York
1835,36,015,87742.0,Chemung County, New York
1836,36,017,49286.0,Chenango County, New York
1837,36,019,81505.0,Clinton County, New York
1838,36,021,61860.0,Columbia County, New York
1839,36,023,48713.0,Cortland County, New York
1840,36,025,46480.0,Delaware County, New York
1841,36,027,295905.0,Dutchess County, New York
1842,36,029,922129.0,Erie County, New York
1843,36,031,38598.0,Essex County, New York
1844,36,033,51007.0,Franklin County, New York
1845,36,035,54297.0,Fulton County, New York
1846,36,037,59053.0,Genesee County, New York
1847,36,039,48069.0,Greene County, New York
1848,36,041,4697.0,Hamilton County, New York
1849,36,043,63558.0,Herkimer County, New York
1850,36,045,117966.0,Jefferson County, New York
1851,36,047,2606852.0,Kings County, New York
1852,36,049,27107.0,Lewis County, New York
1853,36,051,64622.0,Livingston County, New York
1854,36,053,72089.0,Madison County, New York
1855,36,055,749236.0,Monroe County, New York
1856,36,057,49667.0,Montgomery County, New York
1857,36,059,1356801.0,Nassau County, New York
1858,36,061,1634989.0,New York County, New York
1859,36,063,213374.0,Niagara County, New York
1860,36,065,232858.0,Oneida County, New York
